Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
1/4/2024,"2,041.34","2,051.40","2,036.24","2,043.26","2,043.26","2,059.15","2,066.12","2,030.68","2,062.90","2,079.02","2,056.04"
1/3/2024,"2,059.15","2,066.12","2,030.68","2,040.19","2,040.19","2,062.90","2,079.02","2,056.04","2,064.24","2,074.90","2,063.30"
1/2/2024,"2,062.90","2,079.02","2,056.04","2,058.51","2,058.51","2,064.24","2,074.90","2,063.30","2,065.15","2,075.15","2,057.75"
1/1/2024,"2,064.24","2,074.90","2,063.30","2,063.80","2,063.80","2,065.15","2,075.15","2,057.75","2,077.34","2,088.54","2,065.89"
12/29/2023,"2,065.15","2,075.15","2,057.75","2,062.59","2,062.59","2,077.34","2,088.54","2,065.89","2,066.70","2,084.59","2,061.00"
12/28/2023,"2,077.34","2,088.54","2,065.89","2,066.04","2,066.04","2,066.70","2,084.59","2,061.00","2,055.73","2,068.65","2,053.59"
12/27/2023,"2,066.70","2,084.59","2,061.00","2,077.00","2,077.00","2,055.73","2,068.65","2,053.59","2,054.32","2,058.36","2,053.96"
12/26/2023,"2,055.73","2,068.65","2,053.59","2,067.20","2,067.20","2,054.32","2,058.36","2,053.96","2,045.84","2,070.65","2,045.65"
12/25/2023,"2,054.32","2,058.36","2,053.96","2,054.93","2,054.93","2,045.84","2,070.65","2,045.65","2,029.44","2,046.07","2,029.44"
12/22/2023,"2,045.84","2,070.65","2,045.65","2,052.98","2,052.98","2,029.44","2,046.07","2,029.44","2,040.34","2,043.94","2,029.37"
12/21/2023,"2,029.44","2,046.07","2,029.44","2,045.49","2,045.49","2,040.34","2,043.94","2,029.37","2,027.30","2,047.07","2,021.74"
12/20/2023,"2,040.34","2,043.94","2,029.37","2,029.19","2,029.19","2,027.30","2,047.07","2,021.74","2,020.09","2,033.71","2,015.99"
12/19/2023,"2,027.30","2,047.07","2,021.74","2,040.12","2,040.12","2,020.09","2,033.71","2,015.99","2,035.80","2,045.55","2,015.68"
12/18/2023,"2,020.09","2,033.71","2,015.99","2,027.00","2,027.00","2,035.80","2,045.55","2,015.68","2,026.59","2,047.98","2,024.33"
12/15/2023,"2,035.80","2,045.55","2,015.68","2,018.19","2,018.19","2,026.59","2,047.98","2,024.33","1,979.74","2,027.55","1,973.09"
12/14/2023,"2,026.59","2,047.98","2,024.33","2,035.53","2,035.53","1,979.74","2,027.55","1,973.09","1,981.59","1,996.80","1,977.19"
12/13/2023,"1,979.74","2,027.55","1,973.09","2,026.39","2,026.39","1,981.59","1,996.80","1,977.19","2,003.60","2,008.72","1,975.95"
12/12/2023,"1,981.59","1,996.80","1,977.19","1,979.44","1,979.44","2,003.60","2,008.72","1,975.95","2,028.69","2,034.19","1,994.74"
12/11/2023,"2,003.60","2,008.72","1,975.95","1,981.30","1,981.30","2,028.69","2,034.19","1,994.74","2,025.30","2,039.93","2,020.26"
12/8/2023,"2,028.69","2,034.19","1,994.74","2,003.39","2,003.39","2,025.30","2,039.93","2,020.26","2,019.74","2,036.30","2,017.27"
12/7/2023,"2,025.30","2,039.93","2,020.26","2,028.34","2,028.34","2,019.74","2,036.30","2,017.27","2,030.15","2,041.33","2,010.02"
12/6/2023,"2,019.74","2,036.30","2,017.27","2,024.90","2,024.90","2,030.15","2,041.33","2,010.02","2,071.07","2,135.72","2,020.41"
12/5/2023,"2,030.15","2,041.33","2,010.02","2,019.42","2,019.42","2,071.07","2,135.72","2,020.41","2,034.49","2,075.34","2,033.75"
12/4/2023,"2,071.07","2,135.72","2,020.41","2,030.06","2,030.06","2,034.49","2,075.34","2,033.75","2,044.80","2,047.59","2,031.84"
12/1/2023,"2,034.49","2,075.34","2,033.75","2,070.90","2,070.90","2,044.80","2,047.59","2,031.84","2,041.24","2,052.09","2,035.05"
11/30/2023,"2,044.80","2,047.59","2,031.84","2,035.75","2,035.75","2,041.24","2,052.09","2,035.05","2,013.94","2,043.00","2,011.60"
